,0
HOU_Rick Smith,HOU_Rick Smith
IND_Bill Polian,IND_Bill Polian
IND_Chris Ballard,IND_Chris Ballard
IND_Chris Polian,IND_Chris Polian
IND_Ryan Grigson,IND_Ryan Grigson
JAX_David Caldwell,JAX_David Caldwell
JAX_Gene Smith,JAX_Gene Smith
JAX_James Harris,JAX_James Harris
JAX_Trent Baalke,JAX_Trent Baalke
KC_Brett Veach,KC_Brett Veach
KC_Carl Peterson,KC_Carl Peterson
KC_John Dorsey,KC_John Dorsey
KC_Scott Pioli,KC_Scott Pioli
LAC_AJ Smith,LAC_AJ Smith
LAC_Joe Hortiz,LAC_Joe Hortiz
LAC_Tom Telesco,LAC_Tom Telesco
LA_Billy Devaney,LA_Billy Devaney
LA_Jay Zygmunt,LA_Jay Zygmunt
LA_Les Snead,LA_Les Snead
LV_Al Davis,LV_Al Davis
LV_Dave Ziegler,LV_Dave Ziegler
LV_Hue Jackson,LV_Hue Jackson
LV_Mike Mayock,LV_Mike Mayock
LV_Reggie McKenzie,LV_Reggie McKenzie
LV_Tom Telesco,LV_Tom Telesco
MIA_Chris Grier,MIA_Chris Grier
MIA_Dennis Hickey,MIA_Dennis Hickey
MIA_Eddie Jones,MIA_Eddie Jones
MIA_Jerr Ireland,MIA_Jerr Ireland
MIA_Randy Mueller,MIA_Randy Mueller
MIN_Kwesi Adofo-Mensah,MIN_Kwesi Adofo-Mensah
MIN_Rick Spielman,MIN_Rick Spielman
MIN_Rob Brzezinski,MIN_Rob Brzezinski
NE_Bill Belichick,NE_Bill Belichick
NE_Eliot Wolf,NE_Eliot Wolf
NO_Mickey Loomis,NO_Mickey Loomis
NYG_Dave Gettelman,NYG_Dave Gettelman
NYG_Ernie Accorsi,NYG_Ernie Accorsi
NYG_Jerry Reese,NYG_Jerry Reese
NYG_Joe Schoen,NYG_Joe Schoen
NYJ_Joe Douglas,NYJ_Joe Douglas
NYJ_John Idzik,NYJ_John Idzik
NYJ_Mike Maccagnan,NYJ_Mike Maccagnan
NYJ_Mike Tannenbaum,NYJ_Mike Tannenbaum
NYJ_Terry Bradway,NYJ_Terry Bradway
PHI_Andy Reid,PHI_Andy Reid
PHI_Chip Kelly,PHI_Chip Kelly
PHI_Howie Roseman,PHI_Howie Roseman
PIT_Kevin Colbert,PIT_Kevin Colbert
PIT_Omar Khan,PIT_Omar Khan
SEA_Bob Ferguson,SEA_Bob Ferguson
SEA_John Schneider,SEA_John Schneider
SEA_Tim Ruskell,SEA_Tim Ruskell
SF_John Lynch,SF_John Lynch
SF_Scot McCloughan,SF_Scot McCloughan
SF_Terry Donahue,SF_Terry Donahue
SF_Trent Baalke,SF_Trent Baalke
TB_Bruce Allen,TB_Bruce Allen
TB_Jason Licht,TB_Jason Licht
TB_Mark Dominik,TB_Mark Dominik
TB_Rich McKay,TB_Rich McKay
TEN_Floyd Reese,TEN_Floyd Reese
TEN_Jon Robinson,TEN_Jon Robinson
TEN_Mike Reinfeldt,TEN_Mike Reinfeldt
TEN_Ran Carthon,TEN_Ran Carthon
TEN_Ruston Webster,TEN_Ruston Webster
WAS_Adam Peters,WAS_Adam Peters
WAS_Bruce Allen,WAS_Bruce Allen
WAS_Daniel Snyder,WAS_Daniel Snyder
WAS_Martin Mayhew,WAS_Martin Mayhew
WAS_Mike Shanahan,WAS_Mike Shanahan
WAS_Scott McCloughhan,WAS_Scott McCloughhan
WAS_Vinny Cerrato,WAS_Vinny Cerrato
